Anschrift,Ortskürzel,Streckennummer,Servicebezirk,Standortart,Ort_Lat,Ort_Lon,
Algermissen BTS 25421,ALGM-G2,1770  (Lehrte. W 951 - Nordstemmen. W 58),N-HAN-S2 (3S020). Braunschweig. Servicebezirk,Mehrraum-Gebäudestandort,52.2525471805798,9.96681319771309,
Altenhundem BTS 12511,ALH---G,2800  (Hagen Hbf. W 11 - Haiger. W 97),W-ESN-S2 (5S020). Hagen-Süd. Servicebezirk,Mehrraum-Gebäudestandort,51.0961057202188,8.06694133328459,
Altenkirchen BTS 22928,ALKR--G,3032  (Engers - Au (Sieg)),Köln 3T070. Köln 3T070. Serviceteam,Mehrraum-Gebäudestandort,50.685045028642,7.6402993362718,
Altena BSH ZBF/BTS 12846,ALN-BH1,2800  (Hagen Hbf. W 11 - Haiger. W 97),W-ESN-S2 (5S020). Hagen-Süd. Servicebezirk,Mehrraum-Gebäudestandort,51.3007358704098,7.67125936579627,
Altena BSH Buchholzer Tu. BTS 12722,ALNG,2800  (Hagen Hbf. W 11 - Haiger. W 97),W-ESN-S2 (5S020). Hagen-Süd. Servicebezirk,Mehrraum-Gebäudestandort,51.2819384530163,7.68971973676063,
Altena BSH Buchholzer Tu. BTS 12722,ALNG,2800  (Hagen Hbf. W 11 - Haiger. W 97),W-ESN-S2 (5S020). Hagen-Süd. Servicebezirk,Mehrraum-Gebäudestandort,51.2819384530163,7.68971973676063,
Alpirsbach BTS 24158,ALPB--G,4880  (Eutingen im Gäu. W 503 - Schiltach),Freiburg 4T040. Freiburg 4T040. Serviceteam,Mehrraum-Gebäudestandort,48.3427770053232,8.397217173289,
Altenberge BTS 20648,ALR---G,2014  (Nevinghof. W 471 - Gronau (Westf). (DB-Grenze)),W-ESN-S1 (5S010). Hagen-Nord. Servicebezirk,Mehrraum-Gebäudestandort,52.0502702363,7.48222043532896,
Alsenz ZBF BTS 11821,Alsenz001,3320  (Hochspeyer. W 20 - Bad Münster am Stein. W 3),Darmstadt 3T040. Darmstadt 3T040. Serviceteam,Mehrraum-Gebäudestandort,49.7274942967807,7.81691463619611,
Alsfeld BTS 10095,ALSF--G,3700  (Gießen. W 46 - Fulda. W 283),W-ESB-S3 (6S030). Kassel. Servicebezirk,Mehrraum-Gebäudestandort,50.7475627437264,9.26095964080584,
Albstadt-Laufen BTS 23285,ALSG,4630  (Tübingen Hbf. W 43 - Sigmaringen),Ulm 4T050. Ulm 4T050. Serviceteam,Mehrraum-Gebäudestandort,48.2130540885064,8.93332701721154,
Albstadt-Ebingen BTS 23284,ALST,4630  (Tübingen Hbf. W 43 - Sigmaringen),Ulm 4T050. Ulm 4T050. Serviceteam,Mehrraum-Gebäudestandort,48.2102766473264,9.02610563676527,
Altenahr BTS 23888,ALTA--G,3000  (Remagen. W 5 - Adenau),Koblenz 3T120. Koblenz 3T120. Serviceteam,Mehrraum-Gebäudestandort,50.515601640861,6.98878607990858,
Altenbamberg ZBF BTS 11950,Altenbamberg001,3320  (Hochspeyer. W 20 - Bad Münster am Stein. W 3),Darmstadt 3T040. Darmstadt 3T040. Serviceteam,Mehrraum-Gebäudestandort,49.7869300326468,7.83107729153919,
Althof BTS 23116,ALTH--G,6921  (Wismar. W 38 - Rostock Hbf. W 10),O-BLN-S3 (1S030). Schwerin. Servicebezirk,Mehrraum-Gebäudestandort,54.0905454068151,11.9211022975385,
Altstädten AM 26B Ri. BTS,Altstädten009,5402  (Immenstadt. W 24 - Oberstdorf. Gl 3),S-MUE-S2 (8S020). Nürnberg. Servicebezirk,Mehrraum-Gebäudestandort,47.4985576041228,10.2814106100282,
Altenteich BTS 24803,ALTT--G,2870  (Kreuztal. W 18 - Cölbe. W 321),W-ESN-S2 (5S020). Hagen-Süd. Servicebezirk,Mehrraum-Gebäudestandort,50.9697725337281,8.20002110556655,
Altenwillershagen ESTW-A/BTS 15064,ALW_,6322  (Stralsund. W 74 - Rostock Hbf. W 128),O-BLN-S3 (1S030). Schwerin. Servicebezirk,Mehrraum-Gebäudestandort,54.2591563545992,12.5724901873488,
Altenwillershagen ESTW-A/BTS 15064,ALW_,6322  (Stralsund. W 74 - Rostock Hbf. W 128),O-BLN-S3 (1S030). Schwerin. Servicebezirk,Mehrraum-Gebäudestandort,54.2591563545992,12.5724901873488,
Halle/S Ammendorf BTS 25550,AMD---G,6340  (Halle (Saale) Hbf. Gl 4W - Baunatal-Guntershausen. W 8),Halle 1T080. Halle 1T080. Serviceteam,Mehrraum-Gebäudestandort,51.4256910175874,11.9879977440991,
M 35/36 F 7201 Ri. BTS Amstetten,Amstetten Württ001,4700  (Stuttgart Hbf - Neu-Ulm. W 643),Ulm 4T050. Ulm 4T050. Serviceteam,Mehrraum-Gebäudestandort,48.5783039867534,9.87293035902002,
Amstetten FH BTS 20724,AMST--G,4700  (Stuttgart Hbf - Neu-Ulm. W 643),Ulm 4T050. Ulm 4T050. Serviceteam,Mehrraum-Gebäudestandort,48.5836088967961,9.86971458896568,
Amtshainersdorfer Tu. BTS 24152,AMTS--G,6216  (Bautzen. W 44 - Bad Schandau Gl 9),O-DRE-S1 (0S010). Dresden. Servicebezirk,Mehrraum-Gebäudestandort,50.9616607329217,14.2249883163508,
Amtshainersdorf BTS 24153,AMTS-G2,6216  (Bautzen. W 44 - Bad Schandau Gl 9),O-DRE-S1 (0S010). Dresden. Servicebezirk,Mehrraum-Gebäudestandort,50.9655492193406,14.2310990427673,
Arnsberg BSH ZBF/BTS 12404,ANB---G,2550  (Aachen Hbf. W 25 --Arnsberg (W.)-- - Kassel Hbf),W-ESN-S2 (5S020). Hagen-Süd. Servicebezirk,Mehrraum-Gebäudestandort,51.4066602215603,8.07360783031036,
Arnsberg BSH ZBF/BTS 12404,ANB---G,2550  (Aachen Hbf. W 25 --Arnsberg (W.)-- - Kassel Hbf),W-ESN-S2 (5S020). Hagen-Süd. Servicebezirk,Mehrraum-Gebäudestandort,51.4066602215603,8.07360783031036,
Andernach Stadion BTS 21861,ANDG,3005  (Andernach. W 3 - Gerolstein. W 2),Koblenz 3T120. Koblenz 3T120. Serviceteam,Mehrraum-Gebäudestandort,50.4280514129309,7.41833142153246,
Ansbach BTS 19484,AN----G,5321  (Treuchtlingen - Würzburg Hbf),Nürnberg 4T110. Nürnberg 4T110. Serviceteam,Einraum-Gebäudestandort,49.2986078900963,10.5786032188407,
Angersbach BTS 21006,ANGB--G,3700  (Gießen. W 46 - Fulda. W 283),W-ESB-S3 (6S030). Kassel. Servicebezirk,Mehrraum-Gebäudestandort,50.6298625610655,9.45566878549739,
Anklam Stw Akf Fdl/BTS 15020,ANKS,6081  (Berlin-Gesundbrunnen. W 116 --Eberswalde-- - Stralsund),O-BLN-S3 (1S030). Schwerin. Servicebezirk,Mehrraum-Gebäudestandort,53.8580459433637,13.6980440077396,
Annweiler BTS 20514,ANNW--G,3450  (Rheinsheim. Streckenwechsel 4132/3450 - Rohrbach (Saar). W 3),Saarbrücken 3T130. Saarbrücken 3T130. Serviceteam,Mehrraum-Gebäudestandort,49.2019416318104,7.94944147915597,
Angelroda BTS 23675,ANRO--G,6694  (Plaue (Thüringen). W 3 - Rennsteig. Gl 3),O-DRE-S3 (0S030). Erfurt. Servicebezirk,Mehrraum-Gebäudestandort,50.7411058181507,10.8649928887993,
Anwanden BTS 19487,ANW---G,5902  (Nürnberg Hbf - Schnelldorf. Streckenwechsel 4951/5902),Nürnberg 4T110. Nürnberg 4T110. Serviceteam,Mehrraum-Gebäudestandort,49.4116626800845,10.9311032457384,
Apolda STR/ESTW-A/BTS 16973,AP_S,6340  (Halle (Saale) Hbf. Gl 4W - Baunatal-Guntershausen. W 8),Erfurt 1T120. Erfurt 1T120. Serviceteam,Mehrraum-Gebäudestandort,51.0311048278089,11.5308242261209,
Apolda STR/ESTW-A/BTS 16973,AP_S_C204,,DB Netz AG,Raumstandort,51.0311048278089,11.5308242261209,
