Unterwerk,Bemerkung,lon,lat,
Uw Markt Schwaben,,48.185,11.8497222222222,
Uw Marl,früher mit benachbartem Umformerwerk,51.6616666666667,7.17916666666667,
Uw Meckesheim,,49.3291666666667,8.80527777777778,
Uw Mehrhoog [Hamminkeln],der Abzweig zum Uw kann im Sw Kirchhellen gesondert abgeschaltet werden,51.7486111111111,6.49916666666667,
Uw Merklingen[36],neues Unterwerk im Zuge der Neubaustrecke Wendlingen–Ulm[36],48.5241666666667,9.72944444444444,
Uw Montabaur,,50.4452777777778,7.82027777777778,
Uw Mörlach,Im Zuge der 2006 eröffneten Neubaustrecke Nürnberg–Ingolstadt neu errichtet.,49.1991666666667,11.24,
Uw Mottgers [Sinntal],,50.2786111111111,9.65583333333333,
Uw Mühlacker (alt),bis 2004 Unterwerk. anschließend Rückbau des Unterwerks und des 110-kV-Bahnleitungs-Abzweigs. seit 2005 Schaltposten Sp Mühlacker [28](EB 2005),48.9516666666667,8.8375,
Uw Muldenstein [Muldestausee OT Friedersdorf],früher mit benachbartem Kraftwerk,51.6583333333333,12.35,
Uw Müllheim (Baden),,47.8055555555556,7.59555555555556,
fUw Mühlanger (alt),fahrbares Unterwerk (fUw) Mühlanger. zwei fahrbare frequenzelastische 7.5-MW-Umformer. in Betrieb bis 2002. ersetzt durch Uw Klebitz[28](EB 2002.2003),51.8505555555556,12.765,
Sp München-Flughafen [Hallbergmoos],kein eigenständiges Unterwerk. Schaltposten München-Flughafen wird gespeist durch 15-kV-Freileitung vom Uw Pulling,48.3494444444444,11.7366666666667,
Us München-Freimann (alt),ehemaliger Umspanner (Us) für den Rollenprüfstand im Ausbesserungswerk München-Freimann.,48.1988888888889,11.6083333333333,
,kein Streckenunterwerk. Stilllegung Rollenprüfstand und Umspanner im Jahr 2005[28](EB 2006),0,0,
Uw München-Ost [OT Zamdorf],,48.1369444444444,11.6505555555556,
Uw München-Pasing,,48.1522222222222,11.4444444444444,
Uw Münster (Westf),,51.9236111111111,7.63472222222222,
Uw Murnau,,47.6886111111111,11.1925,
Uw Nabern[37] [Dettingen unter Teck],neues Unterwerk im Zuge der Neubaustrecke Wendlingen–Ulm[37],48.6294444444444,9.46527777777778,
Uw Nannhofen [Mammendorf],,48.2161111111111,11.1888888888889,
Uw Neckarelz,Ausgangspunkt von einem von zwei Abschnitten einer Bahnstromleitung mit sechs Stromkreisen. ursprüngliches Unterwerk Baujahr 1970er Jahre. Ersatzneubau im Jahr 2015[38],49.3391666666667,9.11666666666667,
Uw Neudietendorf [Nesse-Apfelstädt OT Apfelstädt],,50.9080555555556,10.8938888888889,
Uw Neuhof [Zossen],speist in Bahnstrecke Berlin-Elsterwerda(-Dresden) ein und über 15-kV-Freileitung den Sp Halbe an der Bahnstrecke Berlin–Görlitz,52.1341666666667,13.4802777777778,
Uw Neumarkt (Oberpfalz),,49.2683333333333,11.4625,
Uw Neumünster,seit 2014 (geplant) mit benachbartem Umrichterwerk, Inbetriebnahme 2015 als zentrales Umrichterwerk [9] Leistung 2*35 MVA [39],54.1091666666667,9.94694444444444,
Uw Neu-Ulm,mit benachbartem Umformerwerk,48.3977777777778,10.0216666666667,
Uw Niedernhausen (Taunus),,50.1566666666667,8.31916666666667,
Uw Niemberg [Landsberg],,51.5591666666667,12.1027777777778,
Uw Nörten-Hardenberg,Ausgangspunkt von einem von zwei Abschnitten einer Bahnstromleitung mit sechs Stromkreisen,51.6391666666667,9.93666666666667,
Uw Nürnberg,mit benachbartem Umrichterwerk, 3 Transformatoren mit je 15 MVA[11],49.4227777777778,11.0083333333333,
Uw Nürnberg-Stein (alt),mit benachbartem ehemaligem Umformerwerk, Außerbetriebnahme 2012[29],49.4297222222222,11.0052777777778,
Uw Oberdachstetten,,49.4175,10.4252777777778,
Uw Oelde,,51.8252777777778,8.12416666666667,
Uw Offenbach (Main),,50.1036111111111,8.78805555555556,
Uw Offenburg (alt),ersetzt durch Uw Appenweier,48.4583333333333,7.91944444444444,
Uw Orscheid [Bad Honnef OT Aegidienberg],,50.655,7.32333333333333,
Uw Osnabrück,,52.2655555555556,8.11777777777778,
Uw Osterburken,,49.4158333333333,9.40472222222222,
Uw Plattling,,48.7802777777778,12.8522222222222,
Uw Plochingen,,48.7188888888889,9.39194444444444,
Uw Pretzier,,52.8302777777778,11.2802777777778,
Uw Priort [Wustermark],Lage südlich des ehemaligen dezentralen Umformerwerks Wustermark,52.5408333333333,12.9738888888889,
Uw Pulling [Freising],speist über 15-kV-Freileitung den Schaltposten München-Flughafen,48.37,11.7138888888889,
Uw Rathenow,,52.5905555555556,12.2775,
Uw Remagen,speist in linke und rechte Rheinstrecke ein (Rhein-Querung der 15-kV-Speiseleitungen auf den gleichen Masten wie die 110-kV-Bahnstromleitung Richtung Osten).,50.5683333333333,7.24305555555556,
Uw Rethen (Leine) [Laatzen],,52.267,9.83516666666667,
Uw Riesa,,51.3113888888889,13.2666666666667,
Uw Ritterhude,,53.1936111111111,8.76305555555555,
Uw Rohrbach [Karlstadt am Main],,49.9830555555556,9.70361111111111,
Uw Röhrmoos,,48.3233333333333,11.4469444444444,
Uw Rosenheim,,47.8455555555556,12.1327777777778,
Uw Rotenburg (Wümme),Inbetriebnahme 2012[29],53.1076666666667,9.35158333333333,
Uw Rotenburg (alt),Außerbetriebnahme 2013[19],53.1072222222222,9.35472222222222,
Uw Roth [Schalkau] [33],in Bau, neues Unterwerk im Zuge der Neubaustrecke Erfurt – Ebensfeld am Nordportal des Tunnel Müß[33],50.3825,11.0369444444444,
Uw Rottweil,,48.1322222222222,8.655,
Uw Rudersdorf (Kr. Siegen) [Wilnsdorf],,50.8344444444444,8.14944444444444,
Uw Saalfeld (Saale),,50.645,11.3763888888889,
Uw Saarbrücken,mit benachbartem Umformerwerk,49.2438888888889,6.97777777777778,
Uw Salzbergen,,52.3283333333333,7.34416666666667,
Uw Saubachtal [Finneland OT Saubach] [32],erbaut im Zuge der Neubaustrecke Erfurt – Leipzig/Halle[32].,51.2055555555556,11.5425,
,Inbetriebnahme 2013[19] oder 2014,0,0,
Uw Schwäbisch Hall-Hessental,,49.0994444444444,9.77666666666667,
Uw Siegburg,,50.7897222222222,7.20833333333333,
Uw Sindorf [Kerpen],,50.8930555555556,6.65416666666667,
Uw Singen (Hohentwiel),mit Kuppelumspanner 132 kV (SBB) / 110 kV (DB), galvanische Trennung zum Netz der SBB, ehemaliger Standort eines fahrbaren Unformerwerks,47.7580555555556,8.88166666666667,
Uw Solpke,,52.5005555555556,11.2952777777778,
Uw Sommerau [St. Georgen im Schwarzwald],,48.1275,8.31138888888889,
Uw Steinbach am Wald,,50.4361111111111,11.3808333333333,
Uw Stolberg (Rheinland),,50.7913888888889,6.20166666666667,
Uw Stuttgart [OT Zazenhausen],speist auch in die Frankenbahn ein (die 15-kV-Speiseleitungen liegen auf den gleichen Masten wie die 110-kV-Bahnstromleitung Richtung Westen),48.8444444444444,9.18416666666667,
Uw Stuttgart-Rohr,,48.7138888888889,9.11,
Uw Traunstein,110-kV-16.7-Hz-Bahnstromleitung zum Uw Steindorf (ÖBB) ohne galvanische Trennung,47.8683333333333,12.6283333333333,
Uw Uelzen,,52.9638888888889,10.5436111111111,
Uw Urbach (Westerwald),,50.5541666666667,7.57388888888889,
Uw Vaihingen/Enz,,48.9430555555556,8.96611111111111,
Uw Wächtersbach,,50.2455555555556,9.28833333333333,
Uw Waiblingen,einziges Unterwerk mit gasisolierter 110-kV-Innenraum-Schaltanlage,48.8252777777778,9.2975,
Uw Waigolshausen,nur mit einem Stromkreis angebunden,49.9669444444444,10.1163888888889,
Uw Warburg,,51.4972222222222,9.14944444444444,
Uw Weimar,früher mit benachbartem Umformerwerk,50.9908333333333,11.3427777777778,
